,content,cyber_label,environmental_issue
10,"priorities18

Tech companies face large
increases for key insurance lines

08| US technology composite
renewal rate

Source: Marsh Global Placement & Specialties, Data and Analytics, PlaceMAP

Technology companies should prepare for
potential challenges for some of their key
insurance lines going forward. Marsh tracked
the cost of seven key coverages since 2011 for
tech companies. We found that only workers’
compensation premiums are lower in 2022
than they were in 2012 (see Figure 8).
Cyber premiums have more than quadrupled for tech companies since 2012 —
with especially large jumps since 2019. And although D&O rates are starting to
plateau, property rates have shown a rise in the last two years.

2012 2013 2014 2015 2016 2017 2018 2019 2020

Tech E&O

Casualty (auto, GL, and umbrella)

All tech E&O and cyber

Property

Cyber

D&O Workers’ comp

2021 YTD
Nov 2022

4.25

2.79

1.74
1.69
1.46
1.26

0.76

1.0

2.0

3.0

4.0

5.0priorities19

Persistent premium increases over the last decade, which have recently started to slow, have
driven many technology firms to take more aggressive actions to preserve capital and protect
their operations. ",,0
11,"

Ian Bremmer
President

Cliff Kupchan
Chairman

1
2
3
4
5

6
7
8
9
10
*

Rogue Russia
Maximum Xi
Weapons of mass disruption
Inflation shockwaves
Iran in a corner

Energy crunch
Arrested global development
Divided States of America
Tik Tok boom
Water stress
Red herrings
We’re (mostly) through the pandemic.
Russia has no way to win in Ukraine. The
European Union is stronger than ever. NATO
rediscovered its reason for being. The G7 is
strengthening. Renewables are becoming
dirt cheap. American hard power remains
unrivaled. Midterms in the United States
were decidedly normal … and many of the
candidates posing the biggest threat to
democracy (especially those who would have
had authority over elections) lost their races.
Meanwhile, Donald Trump is the weakest he
has been since he became president, with a
large number of Republicans preparing to
take him on for the GOP nomination.

There’s got to be a catch.

The big one: A small group of individuals has
amassed an extraordinary amount of power, making
decisions of profound geopolitical consequence
with limited information in opaque environments.
",,0
12,"As online
communication became the norm, one of
the hacker’s favourite weapons of choice –
the spoof email – was less easy to detect
as most correspondence moved online.

Foyle said that audit controls should
include training and alerts so that people
become more aware of the latest hacks.
“Quite simple things, such as always
hovering over email to make sure it is one
that you recognise or would expect to see,
can make a difference,” she says.

CYBERSECURITY
AND DATA SECURITY

29 Mind the Gap: Cyber security risk in the new normal, Chartered IIA UK and Ireland, February 2021

Also, applying risk frameworks with
policies and procedures, including ISO
27100, NEST and COBIT are a must. But
they are not enough. “We have excellent
IT policies and standards that follow best
practice – but the simplest error is that
people often fail to implement them,” said
one chief audit executive at the Risk in
Focus 2023 roundtable event.

While larger organisations tend to have
specialist cyber security expertise inhouse, general internal auditors can make
a big difference by refocusing on the
basics. ",1.0,0
13,"After COVID-19, a mergers and acquisitions boom
accelerated, with global mergers and acquisitions
reaching new record highs. Mergers and acquisitions
pose unique ‘delivery’ and ‘delivered’ risks during this
period of rapid change and the need to realize the
benefits of the transaction.

The role of Internal Audit
Assess the quality of the overall crisis management
system, by ensuring that key threats have been
identified and appropriate response plans are in place
and tested during emergency exercises. Internal
Audit should review whether the business continuity
or crisis response plans are fit for purpose and
whether emerging risks and evolving key threats
have been considered. Internal Audit should also
seek evidence of the governance around crisis
decision-making and the integrity of data and
information reported to crisis committees.

The role of Internal Audit
Develop an integrated merger risk assurance strategy
and plan. This will allow for informed decisions and
awareness of the types of assurance the merger will
obtain during its life cycle, from real-time assurance
through to ‘go’ / ‘no-go’ live assurance. ",,0
14,"In comparing

this year’s survey results to last year’s findings, five

of the top risks for 2022 and three of the top risks for

2031 fell out of the top 10 risks list for 2023 and 2032,

respectively. Two risks related to the impact of the

pandemic, concerns about the organization’s ability to  11

http://www.protiviti.com
shift to meet expectations related to diversity, equity and

inclusion (DEI), the specter of cyber threats, and concerns

about the inability to utilize data analytics effectively fell

out of the top 10 for 2023. Those risks were replaced by

overarching concerns related to supply chain challenges

and the organization’s resilience in a crisis, in addition

to three risks related to the organization’s overall work

environment and culture, including timely escalation

of risk issues to appropriate leaders. A similar churn is

observed for 2032 relative to 2031. In comparing the top

risks for 2031 and 2032, exposure to substitute products

and services, ease of entrance of new competitors into the

industry, and changes in the work environment impacting

organizational culture and the business model were top

10 risks last year looking out 10 years but fell short of a

top 10 ranking looking forward to 2032.

",1.0,1
15,"87

http://www.protiviti.com
FIGURE 10A

Board Members — 2023

Changes in the overall work environment including shifts to hybrid work environments,
expansion of digital labor, changes in the nature of work and who does that work, and M&A
activities may lead to challenges to sustaining our organization’s culture and business model

O 6.11

5.08

NA

Anticipated increases in labor costs may affect our opportunity to meet profitability targets

M 6.03

5.13

5.66

Our organization’s succession challenges and ability to attract and retain top talent and
labor amid the constraints of a tightening talent/labor market may limit our ability to achieve
operational targets

O 6.01

5.32

5.80

Resistance to change in our culture may restrict our organization from making necessary
adjustments to the business model and core operations on a timely basis

O 6.01

4.83

5.63

Uncertainty surrounding our organization’s core supply chain including the viability of key
suppliers, scarcity of supplies, energy sources, unpredictable shipping and distribution
logistical issues, or lack of price stability in the supply chain ecosystem may make it difficult
to deliver our products or services at acceptable margins

O 5.99

5.19

4.69

4 5 6 7 8

2023M Macroeconomic Risk Issue S Strategic Risk Issue O Operational Risk Issue 2022 2021 88

http://www.protiviti.com
FIGURE 10B

Board Members — 2032

Rapid speed of disruptive innovations enabled by advanced technologies (e.g.",,1
16,", artificial
intelligence, automation in all of its forms, hyper-scalable platforms, faster data transmission,
quantum computing, blockchain, digital currencies and the metaverse) and/or other
market forces may outpace our organization’s ability to compete and/or manage the risk
appropriately, without making significant changes to our business model

S 6.01

5.74

5.34

Our organization’s succession challenges and ability to attract and retain top talent and
labor amid the constraints of a tightening talent/labor market may limit our ability to achieve
operational targets

O 5.95

5.56

5.28

Resistance to change in our culture may restrict our organization from making necessary
adjustments to the business model and core operations on a timely basis

O 5.83

5.22

4.59

Economic conditions (including inflationary pressures) in markets we currently serve may
significantly restrict growth opportunities, impact margins or require new skill sets for our
organization

M 5.82

5.53

4.73

4 5 6 7 8

2032M Macroeconomic Risk Issue S Strategic Risk Issue O Operational Risk Issue 2031 2030 61

http://www.protiviti.com
FIGURE 6A

Revenues $1B - $9.99B — 2023

Our organization’s succession challenges and ability to attract and retain top talent and
labor amid the constraints of a tightening talent/labor market may limit our ability to achieve
operational targets

O 6.19

6.00

5.45

Economic conditions (including inflationary pressures) in markets we currently serve may
significantly restrict growth opportunities, impact margins or require new skill sets for our
organization

M 6.05

5.76

5.71

Anticipated increases in labor costs may affect our opportunity to meet profitability targets

M 6.03

5.72

5.17

Our organization may not be sufficiently resilient and/or agile to manage an unexpected crisis
(including a catastrophic event) significantly impacting our operations or reputation

S 6.02

5.45

5.24

Resistance to change in our culture may restrict our organization from making necessary
adjustments to the business model and core operations on a timely basis

O 6.01

5.61

5.56

4 5 6 7 8

2023M Macroeconomic Risk Issue S Strategic Risk Issue O Operational Risk Issue 2022 2021 62

http://www.protiviti.com
FIGURE 6B

Revenues $1B - $9.99B — 2032

Our organization’s succession challenges and ability to attract and retain top talent and
labor amid the constraints of a tightening talent/labor market may limit our ability to achieve
operational targets

O 6.20

5.98

5.33

The adoption of digital technologies (e.g.",,0
17,"Kyodo News, China ship with largest-ever cannon enters Japan waters near Senkakus, 25 November
2022, https://english.kyodonews.net/news/2022/11/cf16e72c5cb6-china-ship-with-largest-ever-cannonenters-japan-waters-near-senkakus.html.

33. Pugh, T.A.M., et al.,“Climate analogues suggest limited potential for intensification of production on
current croplands under climate change”, Nature Communications, vol. 7, no. 12608, 20 September
2016, https://www.nature.com/articles/ncomms12608.

34. Al-Monitor, Egypt warns of stalemate in Nile dam dispute, 27 September 2022, https://www.al-monitor.
com/originals/2022/09/egypt-warns-stalemate-nile-dam-dispute.

35. Ashraf, Tamanna and Shlomi Dinar, “Dams, Terrorism and Water Nationalism’s Response to Globalization
and Development: The Case of South Asia”, Terrorism and Political Violence, vol. 34, no. 5, 3 June 2022,
pp. 958-978, https://www.tandfonline.com/doi/abs/10.1080/09546553.2022.2069449.

36. UN Water, The United Nations Water Development Report 2022: Groundwater: Making the Invisible
Visible, 21 March 2022.

Endnotes
2023   68
Conclusion:
is preparedness possible?

4

Conclusion: is preparedness possible?

While ongoing shocks unfold, the world stands
at a crossroads. As we enter a low-growth, lowinvestment and low-cooperation era, the actions that
we take today will dictate our future risk landscape.
We must ensure that addressing current crises does
not detract from the longer-term view.

",,0
18,"Unsure/NANot at all We are monitoring closely

Somewhat Actively engaging with lawmakers to influence policy

US-China relations 11% 19% 53% 16% 2%

Other US foreign relations 7% 25% 35% 32% 2%

US tax 2% 14% 54% 30% 0%

Global tax 5% 9% 44% 39% 4%

Cybersecurity 2% 11% 63% 25% 0%

Privacy 4% 19% 46% 32% 0%

Climate and clean energy 9% 21% 44% 26% 0%

Healthcare 2% 9% 28% 61% 0%

Labor 4% 21% 51% 25% 0%

Immigration 21% 21% 30% 28% 0%

Antitrust 16% 21% 40% 23% 0%
112

Health industries

*Note: Total may not add up to 100% due to rounding.
Source: PwC Pulse Survey, November 2, 2022: base of 657, HI base of 57 PwC Pulse Survey - November 2022

How concerned are you about the impact of the following on
your business?

",,0
19,", artificial intelligence,
automation in all of its forms, natural language processing,
visual recognition software, virtual reality simulations) in the
marketplace and in our organization may require new skills that
either are in short supply in the market for talent or require
significant efforts to upskill and reskill our existing employees

● ● ● ● ● ● ● ● ● ●

Geopolitical shifts, regional conflicts, and instability in
governmental regimes or expansion of global terrorism
may restrict the achievement of our global growth and
profitability objectives

● ● ● ● ● ● ● ● ● ● 72

http://www.protiviti.com
Macroeconomic Risk Issues (continued) Board CEO CFO CHRO CRO CAE CIO/
CTO

CSO CDO Other
C-Suite

The current interest rate environment may have a significant
effect on the organization’s capital costs and operations

● ● ● ● ● ● ● ● ● ●

Government policies surrounding public health practices (in
response to the pandemic) and stimulus to drive recovery and
national resilience may significantly impact the performance of
our business

● ● ● ● ● ● ● ● ● ●

Uncertainties from reliance on international markets for key
elements of our supply chain will continue to create significant
challenges for us to meet revenue/profitability goals

● ● ● ● ● ● ● ● ● ●

Shifts in perspectives and expectations about social issues
and priorities surrounding diversity, equity and inclusion
(e.g.",,1
20,"157

http://www.protiviti.com
FIGURE 28A

North America HQ Organizations — 2023

Economic conditions (including inflationary pressures) in markets we currently serve may
significantly restrict growth opportunities, impact margins or require new skill sets for our
organization

M 6.10

5.64

5.57

Our organization’s succession challenges and ability to attract and retain top talent and
labor amid the constraints of a tightening talent/labor market may limit our ability to achieve
operational targets

O 6.02

5.91

5.24

Anticipated increases in labor costs may affect our opportunity to meet profitability targets

M 5.98

5.58

4.65

The current interest rate environment may have a significant effect on the organization’s
capital costs and operations

M 5.72

4.72

4.48

Uncertainty surrounding our organization’s core supply chain including the viability of key
suppliers, scarcity of supplies, energy sources, unpredictable shipping and distribution
logistical issues, or lack of price stability in the supply chain ecosystem may make it difficult
to deliver our products or services at acceptable margins

O 5.68

5.29

4.38

4 5 6 7 8

2023M Macroeconomic Risk Issue S Strategic Risk Issue O Operational Risk Issue 2022 2021 158

http://www.protiviti.com
FIGURE 28B

North America HQ Organizations — 2032

2032M Macroeconomic Risk Issue S Strategic Risk Issue O Operational Risk Issue 2031 2030

Our organization’s succession challenges and ability to attract and retain top talent and
labor amid the constraints of a tightening talent/labor market may limit our ability to achieve
operational targets

O 6.34

6.12

5.85

The adoption of digital technologies (e.g.",,1
21,"Near term for 2023, they are rated 12th and

15th, respectively. The dynamic nature of the cyber threat

landscape and the complexity of the data privacy regulatory

environment continue to evolve. Of note, for both time

horizons, the risk scores for data privacy and cyber threats

increased year-over-year compared to our prior year

results, underscoring that these risk issues remain critical

concerns for the board and C-suite. That these risks are

not ranked as high for 2023 as they are looking out 10

years once again suggests business leaders perceive more

pressing issues over the next 12 months.

Environmental, social and governance (ESG)

considerations vary in emphasis. As noted above, people,

workplace and culture-related risks are top of mind.

Hence, many matters pertaining to the “S” of ESG received

significant play in this year’s survey, as they did last year. As

for the “E,” climate change concerns continue to be greatest

in those industries heavily reliant on market acceptance of

fossil fuels. Among the notable ESG sub-themes:

• DEI risk is rated about the same year-over-year but

has declined in relative importance. ",,1
22,"Loyalty programs are not only competitive differentiators,

but also key drivers of revenue and profits for retailers,

restaurants, hotels, airlines and many other businesses.

Of course, many retailers have gone digital with customer

orders, including in-store, pick-up and delivery. With

customer expectations at an all-time high, the ability to

enable consumers to buy anything, anywhere, anytime, and

have it available at their front door is a challenge every CPG

and retail company must embrace to compete effectively

for customers.

The supply chain game

Last year, CPG respondents rated the supply chain crisis

as their foremost risk issue, above even market conditions

related to the pandemic and pandemic-related government

policies. The latest survey shows this trend isn’t going away,

as it was again rated the top risk by the combined CPG and

retail group.

The cost of goods (i.e., inflation), the changing labor model,

with its cost implications, and persistent labor shortages

all contribute to the difficulty of moving goods through the

supply chain to customers. ",,0
23,"Climate change
framework
Shell is developing its management
frameworks to enable it to make the
transition to net zero, and Marnoch wants
his team to be part of the assurance around

the frameworks as they are being built.
Shell Internal Audit is therefore asking
questions on the business objectives, the
risks associated with those objectives,
what controls would be appropriate and
how assurance around those controls can
be integrated as the frameworks develop.

He says that internal auditors should
make sure that they can be involved during
the carbon transition journey. They can
provide timely feedback and provide
assurance to the Audit Committee about
how it is developing and how risks are
being managed instead of coming in
a couple of years down the line and
raising concerns.

COP26’s
stretching goals
The Conference of the Parties (better
known as COP 26) set fresh climate
goals that organisations may struggle
to help meet. Key targets included
securing net global emissions by 2030
to keep warming to 1.5 degrees within
sight6. In addition, in 2022 the European
Financial Reporting Advisory Group
released the Exposure Drafts for European
Sustainability Reporting Standards, a key
component of the Corporate Sustainability
Reporting Directive. ",,0
24,", company size, position held by respondent, industry

representation, geographic location, and organization type).

With respect to the various industries, we grouped related

industry sectors into combined industry groupings to

facilitate analysis, consistent with our prior years’ reports.

Table 1 lists the 38 risk issues rated by our respondents,

arrayed across three categories — Macroeconomic,

Strategic and Operational. 7

http://www.protiviti.com
TABLE 1

List of 38 risk issues analyzed

Macroeconomic Risk Issues

• Anticipated volatility in global financial markets and currency exchange rates may
create significantly challenging issues for our organization to address

• Political uncertainty surrounding the influence and continued tenure of key global
leaders, shifts in the balance of global power, and political extremism may impact the
stability of national and international markets to the point of significantly limiting our
growth opportunities

• Evolving changes in global trade policies (e.g.",,1
25,"Government of the United Kingdom Office for National Statistics, Public sector finances, UK: October
2022, 22 November 2022, https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/
publicsectorfinance/bulletins/publicsectorfinances/october2022; Government of the United Kingdom Office
for National Statistics, Public sector finances, UK: March 2022, 26 April 2022, https://www.ons.gov.uk/
economy/governmentpublicsectorandtaxes/publicsectorfinance/bulletins/publicsectorfinances/march2022.

127. Bank of England, Why have interest rates gone up?, 4 November 2022, https://www.bankofengland.
co.uk/knowledgebank/why-are-interest-rates-in-the-uk-going-up#:~:text=On%203%20November%20
2022%2C%20we,loan%2C%20mortgage%20or%20savings%20account.

128. Carlsson-Szlezak, Philipp and Paul Swartz, “Why the market vetoed the UK’s budget – and what it means
for the changing nature of stimulus around the world”, Fortune, 27 September 2022, https://fortune.
com/2022/09/27/market-vetoed-uk-budget-truss-pound-changing-nature-stimulus-economy-carlssonszlezak-swartz/.

129. Georgieva, Kristalina and Ceyla Pazarbasioglu, “The G20 Common Framework for Debt Treatments
Must Be Stepped Up”, IMF blog, 2 December 2021, https://www.imf.org/en/Blogs/Articles/2021/12/02/
blog120221the-g20-common-framework-for-debt-treatments-must-be-stepped-up.

130. Jensen, Lars, Avoiding ‘Too Little Too Late’ on International Debt Relief, United Nations Development
Programme (UNDP), UNDP Development Futures Series Working Papers, 11 October 2022, https://www.
undp.org/publications/dfs-avoiding-too-little-too-late-international-debt-relief.

131. Ibid.

132. Ibid.

133. Sharma, Ruchir, “A post-dollar world is coming”, Financial Times, 28 August 2022, https://www.ft.com/
content/989b2e50-e8b5-474c-86a3-190c6881b235?desktop=true&segmentId=7c8f09b9-9b61-4fbb9430-9208a9e233c8#myft:notification:daily-email:content.

134. The World Bank, International Debt Statistics, https://databank.worldbank.org/source/international-debtstatistics, accessed 13 December 2022.

135. World Bank Group, World Development Report 2022: Finance for an Equitable Recovery, 2022, https://
www.worldbank.org/en/publication/wdr2022.

136. Ibid.

137. ",,0
26,"Full time 29%

Four days per week 13%

Three days per week 18%

Two days per week 22%

One day per week 8%

About 1-3 days per month 6%

Employees don’t have to be on-site 4%
83

CRO and risk management leaders

*Note: Total may not add up to 100% due to rounding.
Source: PwC Pulse Survey, November 2, 2022: base of 657, CRO base of 72 PwC Pulse Survey - November 2022

As you look to the next 12-18 months, which of the following strategic
business changes are you making?

Major reorganization of operating model 25%

Changes to strategic planning based on current business conditions 35%

Acquisition or divestiture 38%

Shifting products/services mix 38%

Reducing number of full-time employees 15%

Cost cutting not including headcount reductions 32%

Hiring in specific areas to drive growth 44%

Hiring more compliance personnel 29%

Moving production to lower tax jurisdictions 26%

Moving business out of China 25%

Updating digital asset strategy 43%

Unsure 0%

None of the above 1%
84

CRO and risk management leaders

*Note: Total may not add up to 100% due to rounding.
",,0
27,"While the drive to have more
efficient processes is positive, companies need to
implement technology with the right balance of
protection against cost.”

Cyber incidents are also the cause of business
interruption (BI) that Allianz Risk Barometer
respondents fear most (45%), reflecting ongoing
concern for disruption caused by ransomware
attacks, IT system and cloud outages and the
threat of cyber war.

Severe BI can result from a wide range of cyberrelated triggers, including malicious attacks by
criminals or state-backed hackers, human error
or technical glitches. According to Allianz analysis
of cyber-related insurance industry claims that
it has been involved with over the past five
years, BI is the main cost driver for 57% of claims
globally and is a significant driver for the rising
severity of claims, including from ransomware
attacks, which have proliferated in recent years.
Hackers increasingly target both digital and
physical supply chains providing opportunities to
simultaneously attack multiple companies and
gain additional leverage for extortion.

Allianz Risk Barometer 2023

14

Which causes of business interruption does your company fear most?
Top five answers

Source: Allianz Risk
Barometer 2023

Total number of
respondents: 917.
",1.0,0
28,"China,
too, faces massive economic challenges, much
greater than other major countries. Its economy
is still expected to surpass that of the United States
in GDP by 2030, but there is a growing chance it
never does. And if it does, this does not herald a
Chinese century as China’s population halves by
2100. If any major middle-income country is truly
outperforming in the coming decades, it’s the
world’s soon-to-be third largest economy (and its
largest democracy), India.

But in terms of leading by example, it’s a radically
different story for the United States. In 1989, the
US was the world’s leading exporter of democracy.
Today, it is the leading exporter of tools that
undermine democracy—the result of algorithms
and social media platforms that rip at the fabric
of civil society while maximizing profit, creating
unprecedented political division, disruption, and

dysfunction. That trend is accelerating fast—not
driven by governments but by a small collection of
individuals with little understanding of the social
and political impact of their actions.

Is the tech centibillionaire a bigger threat to
global instability than Putin or Xi? ",,0
29,"As noted, within the privately held for-profit category, we

captured responses from participants who classified their

respective organizations as either “preparing to become

publicly held” or “no current plans to become publicly held.”

We observed a number of major differences between

these two groups. Across the board, risk scores among

organizations planning to go public are substantially higher

compared with organizations not planning to become

publicly held. For 2023, organizations planning a public

offering rated 35 of the 38 risks at the “Significant Impact”

level. Of note, for those organizations with no plans to

become public companies, only three of 38 risk issues are

rated at the “Significant Impact” level. This is an interesting

distinction, as those companies preparing to go public are

getting ready for increased stakeholder scrutiny and raising

their line of sight on the need for improved infrastructure

in many areas. Thus, as the survey results suggest, their

sensitivity to risk is higher.

For the most part,

macroeconomic and

operational risk concerns

dominate the top five risk

issues for all organizations. ",,0
30,"At the same time, many are likely
looking for ways to remain innovative and build a strong, competitive
position for the future.

Some of the specific themes we see playing a critical role in 2023 and
beyond include:

• Leading through macroeconomic uncertainty. Beleaguered
by softening consumer spending, lower product demand, and
falling market capitalizations, tech companies’ C-suites are feeling
the urgency to increase margins and grow revenues. Beyond

workforce adjustments, approaches may include making business
processes more efficient, relying more heavily on intelligent
automation, reducing tech debt by implementing best practices
for software development, modernizing legacy architectures by
migrating to cloud and XaaS, and considering strategic mergers
and acquisitions (M&A).

• Navigating global uncertainties. As technology companies
confront heightened global challenges—including geopolitical
tensions, supply chain volatility, raw material shortages,
semiconductor supply concerns, and new regulations—they
should work to mitigate risks and build more resilient systems.
Leaders should think strategically about their choices of partners,
where they’re located, and where and how production takes place.

• Transforming other industries through technology. On a
hunt for new revenue opportunities, the tech sector is extending
its reach into other industries, using digital advancements to
support innovation and transformation. ",,0
